Time,Status,Long,Lat,Alt
1593297862,A,-82.4233398,36.372966,485.2
1593297862,A,-82.4233182,36.3729487,485.3
1593297863,A,-82.4232962,36.3729313,485.3
1593297863,A,-82.4232743,36.3729142,485.3
1593297863,A,-82.4232523,36.3728975,485.4
1593297863,A,-82.4232302,36.3728802,485.4
1593297863,A,-82.423208,36.3728633,485.5
1593297863,A,-82.423186,36.3728467,485.5
1593297863,A,-82.4231637,36.3728298,485.6
1593297863,A,-82.4231413,36.372813,485.6
1593297863,A,-82.4231188,36.3727963,485.6
1593297863,A,-82.4230963,36.3727795,485.7
1593297864,A,-82.4230738,36.3727627,485.8
1593297864,A,-82.423051,36.372746,485.8
1593297864,A,-82.4230282,36.3727292,485.9
1593297864,A,-82.4230055,36.372713,485.9
1593297864,A,-82.4229825,36.3726965,485.9
1593297864,A,-82.4229597,36.3726802,486
1593297864,A,-82.4229365,36.3726638,486
1593297864,A,-82.4229133,36.3726473,486
1593297864,A,-82.4228902,36.372631,486.1
1593297864,A,-82.4228667,36.3726148,486.1
1593297865,A,-82.4228433,36.3725988,486.2
1593297865,A,-82.4228198,36.372583,486.2
1593297865,A,-82.422796,36.3725667,486.2
1593297865,A,-82.4227725,36.3725508,486.3
1593297865,A,-82.4227488,36.3725352,486.3
1593297865,A,-82.4227248,36.372519,486.3
1593297865,A,-82.4227012,36.3725037,486.4
1593297865,A,-82.4226772,36.3724883,486.4
1593297884,A,-82.4174403,36.3700135,476.7
1593297885,A,-82.417412,36.370002,476.6
1593297885,A,-82.4173835,36.3699907,476.4
1593297885,A,-82.4173553,36.3699792,476.3
1593297885,A,-82.417327,36.3699677,476.2
1593297885,A,-82.4172987,36.3699562,476.1
1593297885,A,-82.4172703,36.3699447,476
1593297885,A,-82.4172418,36.3699332,475.9
1593297885,A,-82.4172135,36.3699215,475.8
1593297885,A,-82.417185,36.36991,475.7
1593297885,A,-82.4171567,36.3698983,475.6
1593297886,A,-82.4171282,36.3698867,475.5
1593297886,A,-82.4170998,36.369875,475.4
1593297886,A,-82.4170712,36.3698633,475.3
1593297886,A,-82.4170427,36.3698513,475.2
1593297886,A,-82.4170142,36.3698393,475.1
1593297886,A,-82.4169857,36.3698275,475
1593297886,A,-82.4169572,36.3698153,474.9
1593297886,A,-82.4169287,36.3698033,474.8
1593297886,A,-82.4169003,36.369791,474.7
1593297886,A,-82.4168718,36.3697785,474.5
1593297887,A,-82.4168437,36.369766,474.4
1593297887,A,-82.4168153,36.3697533,474.3
1593297887,A,-82.4167872,36.3697405,474.2
1593297887,A,-82.4167592,36.3697275,474.1
1593297887,A,-82.416731,36.3697145,473.9
1593297887,A,-82.4167032,36.3697013,473.8
1593297887,A,-82.4166752,36.3696882,473.7
1593297887,A,-82.4166473,36.3696748,473.6
1593297887,A,-82.4166197,36.3696612,473.5
1593297887,A,-82.416592,36.3696477,473.4
1593297888,A,-82.4165645,36.3696342,473.3
1593297888,A,-82.416537,36.3696203,473.3
1593297888,A,-82.4165097,36.3696065,473.1
1593297888,A,-82.4164823,36.3695925,473.1
1593297888,A,-82.4164552,36.3695785,473
1593297888,A,-82.416428,36.3695642,472.9
1593297888,A,-82.416401,36.3695498,472.8
1593297888,A,-82.4163742,36.3695353,472.7
1593297888,A,-82.4163475,36.3695208,472.7
1593297888,A,-82.4163207,36.3695062,472.6
1593297889,A,-82.416294,36.3694915,472.5
1593297889,A,-82.4162672,36.3694765,472.4
1593297889,A,-82.4162407,36.3694615,472.4
1593297889,A,-82.4162142,36.3694465,472.4
1593297889,A,-82.4161878,36.3694315,472.3
1593297889,A,-82.4161613,36.3694163,472.2
1593297889,A,-82.416135,36.3694012,472.1
1593297889,A,-82.4161088,36.3693858,472.1
1593297889,A,-82.4160827,36.3693705,472
1593297889,A,-82.4160567,36.3693552,472
1593297890,A,-82.4160305,36.3693397,471.9
1593297890,A,-82.4160043,36.369324,471.9
1593297890,A,-82.4159785,36.3693083,471.8
1593297890,A,-82.4159527,36.3692927,471.8
1593297890,A,-82.4159267,36.3692768,471.7
1593297890,A,-82.4159008,36.369261,471.7
1593297890,A,-82.415875,36.369245,471.6
1593297890,A,-82.4158492,36.369229,471.6
1593297890,A,-82.4158235,36.3692132,471.6
1593297890,A,-82.4157978,36.3691972,471.5
1593297891,A,-82.4157722,36.369181,471.5
1593297891,A,-82.4157465,36.3691648,471.5
1593297891,A,-82.4157208,36.3691487,471.5
1593297891,A,-82.4156953,36.3691325,471.4
1593297891,A,-82.4156698,36.369116,471.4
1593297891,A,-82.4156443,36.3690997,471.4
1593297891,A,-82.4156188,36.3690833,471.4
1593297891,A,-82.4155933,36.3690668,471.3
1593297891,A,-82.4155678,36.3690503,471.3
1593297891,A,-82.4155423,36.3690338,471.3
1593297892,A,-82.415517,36.3690173,471.3
1593297892,A,-82.4154918,36.3690008,471.2
1593297892,A,-82.4154667,36.368984,471.2
1593297892,A,-82.4154415,36.3689677,471.2
1593297892,A,-82.4154163,36.3689508,471.2
1593297892,A,-82.4153912,36.3689345,471.2
1593297892,A,-82.4153662,36.3689175,471.2
1593297892,A,-82.4153412,36.3689013,471.1
1593297892,A,-82.4153162,36.3688847,471.1
1593297892,A,-82.4152913,36.3688682,471.1
1593297893,A,-82.4152665,36.3688513,471.1
1593297893,A,-82.4152418,36.3688348,471.1
1593297893,A,-82.415217,36.3688182,471.1
1593297893,A,-82.4151923,36.3688015,471.1
1593297893,A,-82.4151677,36.3687845,471.1
1593297893,A,-82.415143,36.368768,471.1
1593297893,A,-82.4151187,36.3687512,471.1
1593297893,A,-82.4150942,36.3687345,471.1
1593297893,A,-82.4150698,36.3687178,471.1
1593297893,A,-82.4150455,36.3687008,471.1
1593297894,A,-82.4150213,36.3686842,471.1
1593297894,A,-82.4149972,36.3686675,471.1
1593297894,A,-82.414973,36.3686505,471.1
1593297894,A,-82.4149488,36.368634,471.1
1593297894,A,-82.4149248,36.3686172,471.2
1593297894,A,-82.414901,36.3686005,471.2
1593297894,A,-82.414877,36.3685838,471.2
1593297894,A,-82.4148532,36.3685668,471.3
1593297894,A,-82.4148295,36.3685502,471.3
1593297894,A,-82.4148057,36.3685332,471.3
1593297895,A,-82.4147822,36.3685163,471.4
1593297895,A,-82.4147587,36.3684995,471.4
1593297895,A,-82.4147353,36.3684823,471.4
1593297895,A,-82.4147118,36.3684657,471.4
1593297895,A,-82.4146885,36.3684487,471.5
1593297895,A,-82.4146653,36.3684317,471.5
1593297895,A,-82.4146422,36.3684147,471.5
1593297895,A,-82.414619,36.3683977,471.6
1593297895,A,-82.4145958,36.3683807,471.6
1593297895,A,-82.4145728,36.3683635,471.7
1593297896,A,-82.4145498,36.3683465,471.7
1593297896,A,-82.414527,36.3683293,471.8
1593297896,A,-82.414504,36.368312,471.9
1593297896,A,-82.4144813,36.3682948,471.9
1593297896,A,-82.4144587,36.3682775,472
