,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
1038192,id0690956,2,2016-05-05 18:45:49,2016-05-05 18:59:22,1,-73.99398040771484,40.72676086425781,-74.00086212158203,40.74191665649415,N,813
197854,id0290764,2,2016-04-26 18:41:57,2016-04-26 18:55:34,1,-73.98226928710938,40.77693176269531,-73.97508239746094,40.762561798095696,N,817
1131738,id2155802,1,2016-02-10 15:54:29,2016-02-10 16:26:36,1,-73.95407104492188,40.76414108276367,-73.9389114379883,40.7607650756836,N,1927
205438,id0221833,2,2016-03-13 11:59:43,2016-03-13 12:09:59,3,-74.0067367553711,40.74406051635742,-74.0148696899414,40.71121215820313,N,616
1340337,id1421621,1,2016-06-17 00:06:02,2016-06-17 00:14:37,1,-73.99363708496094,40.74571228027344,-73.98822021484375,40.75905227661133,N,515
672421,id0906685,2,2016-02-25 15:21:50,2016-02-25 15:48:53,1,-73.99261474609375,40.734687805175774,-73.96855163574219,40.76514053344727,N,1623
1107244,id0283031,2,2016-04-10 12:31:52,2016-04-10 12:41:50,1,-73.95437622070312,40.77002716064453,-73.96703338623048,40.765052795410156,N,598
954356,id3115083,1,2016-03-25 00:56:58,2016-03-25 01:04:57,2,-73.99368286132812,40.740501403808594,-74.00425720214845,40.742408752441406,N,479
243973,id3692077,2,2016-01-20 20:11:45,2016-01-20 20:42:37,1,-73.98432159423827,40.73743057250977,-73.99705505371094,40.72375106811523,N,1852
73366,id2123670,1,2016-04-16 20:37:06,2016-04-16 20:57:34,1,-73.974853515625,40.78334045410156,-73.97251892089844,40.74917602539063,N,1228
1039412,id3200142,2,2016-03-07 11:33:12,2016-03-07 11:39:27,1,-73.9630126953125,40.76668167114258,-73.95199584960938,40.769546508789055,N,375
1221076,id0024080,2,2016-06-13 16:50:42,2016-06-13 16:53:46,1,-73.98802947998048,40.73806381225585,-73.98495483398438,40.7423210144043,N,184
1045316,id1651834,2,2016-05-30 21:22:36,2016-05-30 21:27:20,3,-73.96479797363281,40.80170822143555,-73.97367858886719,40.784461975097656,N,284
736889,id0944091,1,2016-05-03 13:45:46,2016-05-03 14:06:48,1,-73.97020721435547,40.7681770324707,-73.98632049560547,40.751609802246094,N,1262
1139297,id1038483,2,2016-06-19 11:59:16,2016-06-19 12:07:22,1,-74.00686645507811,40.74382019042969,-73.98370361328125,40.74396133422852,N,486
564765,id0448130,2,2016-02-12 07:09:15,2016-02-12 07:12:28,1,-73.98636627197266,40.74031066894531,-73.99539184570312,40.74409866333008,N,193
966286,id0983604,2,2016-06-29 15:42:02,2016-06-29 15:44:21,1,-73.9806137084961,40.78274536132813,-73.97478485107422,40.79058456420898,N,139
957867,id0026284,2,2016-01-07 15:39:42,2016-01-08 00:00:00,1,-73.9633560180664,40.76872634887695,-73.97196960449219,40.75985336303711,N,30018
943264,id0213519,1,2016-04-10 10:07:51,2016-04-10 10:14:01,1,-73.95610809326173,40.78724670410156,-73.95349884033203,40.77687454223633,N,370
61729,id3521461,1,2016-06-10 10:31:11,2016-06-10 10:46:29,3,-74.01577758789062,40.71134948730469,-73.995849609375,40.73888778686523,N,918
90748,id0055730,1,2016-04-19 21:39:37,2016-04-19 22:25:46,1,-73.99105072021484,40.72775268554688,-73.77880859375,40.71735763549805,N,2769
590073,id3232467,2,2016-02-16 19:45:01,2016-02-16 19:50:28,2,-73.97354888916014,40.779380798339844,-73.96308135986328,40.7718505859375,N,327
1140331,id1289189,2,2016-04-08 17:09:59,2016-04-08 17:51:49,2,-73.93002319335938,40.75635147094727,-73.97989654541014,40.78044891357422,N,2510
806940,id1779501,2,2016-02-05 02:10:44,2016-02-06 01:17:20,5,-73.95088195800781,40.77662658691406,-73.97005462646483,40.69311141967773,N,83196
643008,id3782132,2,2016-04-05 20:13:38,2016-04-05 20:27:39,2,-74.00440216064453,40.74774169921875,-73.9922866821289,40.725318908691406,N,841
708168,id3229400,2,2016-06-24 19:10:35,2016-06-24 19:45:39,1,-73.98213958740234,40.76139831542969,-74.01441192626955,40.70420837402344,N,2104
224695,id0909397,1,2016-04-25 16:13:01,2016-04-25 16:30:42,1,-73.95293426513672,40.76804733276367,-73.99200439453125,40.75154495239258,N,1061
275755,id3749670,2,2016-04-28 21:55:30,2016-04-28 22:10:23,3,-73.99136352539062,40.74455642700195,-74.01171875,40.70322036743164,N,893
883556,id1429368,2,2016-01-15 19:40:30,2016-01-15 19:49:48,2,-73.9768295288086,40.765079498291016,-73.98517608642578,40.75636672973633,N,558
346843,id0471231,1,2016-05-30 12:14:11,2016-05-30 12:27:53,1,-73.97625732421875,40.78886795043945,-73.95712280273438,40.77068710327149,N,822
903219,id3907750,2,2016-01-27 21:05:15,2016-01-27 21:10:32,1,-73.9914321899414,40.73757934570313,-73.9984130859375,40.74554061889648,N,317
171175,id2025209,2,2016-02-23 23:05:14,2016-02-23 23:16:25,1,-73.983154296875,40.76232147216797,-73.97835540771484,40.75383758544922,N,671
400620,id3524672,2,2016-05-31 16:01:45,2016-05-31 16:03:23,1,-73.99815368652342,40.7456283569336,-73.9959945678711,40.74848175048828,N,98
993234,id1158834,1,2016-05-14 12:43:59,2016-05-14 12:49:35,2,-73.97093200683594,40.75890350341797,-73.9860076904297,40.74002075195313,N,336
1403213,id3357003,1,2016-04-14 01:45:56,2016-04-14 01:51:56,1,-73.96479034423827,40.75993728637695,-73.9818801879883,40.75675582885742,N,360
60754,id1258973,1,2016-02-11 08:32:02,2016-02-11 08:42:22,1,-73.99744415283203,40.76158905029297,-73.99134063720702,40.7500228881836,N,620
444017,id0552601,1,2016-06-15 01:46:13,2016-06-15 01:59:44,2,-73.99231719970702,40.71871566772461,-73.97216796875,40.75427627563477,N,811
483427,id0161938,2,2016-02-01 15:14:59,2016-02-01 15:30:50,1,-73.98895263671875,40.74930953979492,-73.98065948486328,40.73691177368164,N,951
1092445,id2925664,1,2016-03-04 18:38:06,2016-03-04 18:58:06,1,-73.97866821289062,40.74490737915039,-73.99858856201173,40.740081787109375,N,1200
524581,id2676205,1,2016-02-23 20:19:14,2016-02-23 20:37:11,1,-73.96791076660156,40.80217742919922,-73.98835754394531,40.76411437988281,N,1077
